Date,Open,High,Low,Close,Volume
2017-03-15,39.44,39.73,39.03,39.55,2167285
2017-03-16,39.67,39.84,39.3,39.67,1831056
2017-03-17,39.97,39.99,39.41,39.68,3042776
2017-03-20,39.75,39.95,39.01,39.15,1385727
2017-03-21,39.28,39.41,37.97,38.03,2351178
2017-03-22,38.03,38.37,37.79,38.33,1712682
2017-03-23,38.1,38.78,37.99,38.39,1699013
2017-03-24,38.31,38.46,37.97,38.29,1629172
2017-03-27,38.0,38.55,37.78,38.32,1583319
2017-03-28,38.41,39.19,38.31,39.1,2188643
2017-03-29,39.07,39.61,39.03,39.37,1896185
2017-03-30,39.26,39.96,39.23,39.93,1651412
2017-03-31,39.87,40.0,39.44,39.46,1969635
2017-04-03,39.43,39.73,38.79,39.28,3344784
2017-04-04,39.04,39.29,38.72,38.98,3627734
2017-04-05,39.13,39.37,37.28,37.8,7517570
2017-04-06,39.25,40.76,38.76,39.08,12689493
2017-04-07,38.87,39.65,38.85,39.49,3889256
2017-04-10,39.6,40.19,39.36,39.38,3400618
2017-04-11,39.2,39.3,38.98,39.2,2407434
2017-04-12,39.02,39.22,38.4,38.46,2351302
2017-04-13,38.34,38.63,38.05,38.39,2190675
2017-04-17,38.62,38.73,38.18,38.43,2011481
2017-04-18,38.29,38.77,38.11,38.42,1650477
2017-04-19,38.55,39.52,38.5,39.11,2234109
2017-04-20,39.24,40.24,39.24,39.93,2847726
2017-04-21,40.02,40.04,39.66,39.8,1880327
2017-04-24,40.22,40.33,39.64,39.69,2632740
2017-04-25,39.8,39.97,39.14,39.36,1927371
2017-04-26,39.28,39.89,39.28,39.39,2057364
2017-04-27,39.35,39.39,38.81,39.18,2141390
2017-04-28,39.39,39.39,38.52,38.75,2418710
2017-05-01,38.8,38.8,37.42,37.43,2852365
2017-05-02,37.4,38.2,37.21,38.19,2600823
2017-05-03,38.05,38.2,37.4,37.68,2199281
2017-05-04,37.75,37.96,37.01,37.1,2076996
2017-05-05,37.25,37.4,37.02,37.34,1759879
2017-05-08,37.38,37.51,37.15,37.21,1971353
2017-05-09,37.27,37.66,37.17,37.54,2044572
2017-05-10,37.42,37.68,37.31,37.66,1940251
2017-05-11,37.34,37.49,36.52,36.66,2564732
2017-05-12,36.66,36.66,35.88,36.1,2576829
2017-05-15,36.15,36.54,35.9,35.97,1832028
2017-05-16,35.95,35.95,35.35,35.48,2218809
2017-05-17,35.15,36.01,35.08,35.5,2949465
2017-05-18,35.62,35.91,34.93,35.15,1888522
2017-05-19,35.22,35.61,34.98,35.33,2034162
2017-05-22,35.5,35.69,35.2,35.32,1514142
2017-05-23,35.33,35.37,34.67,34.7,1636185
2017-05-24,34.61,34.85,34.36,34.71,1544517
2017-05-25,35.08,35.18,34.51,34.77,3619285
2017-05-26,34.67,34.96,34.41,34.85,1820479
2017-05-30,34.74,35.03,34.58,34.74,1543474
2017-05-31,34.82,35.12,34.17,34.41,2403531
2017-06-01,34.44,35.56,34.23,35.34,2520112
2017-06-02,35.15,35.4,34.96,35.2,1958066
2017-06-05,35.16,35.16,34.31,34.84,2102197
2017-06-06,34.62,34.62,34.03,34.08,2457077
2017-06-07,34.25,34.38,33.78,33.83,2288854
2017-06-08,34.04,34.56,33.77,33.82,2144341
2017-06-09,33.85,35.77,33.63,35.64,3942318
2017-06-12,35.75,37.49,35.74,36.49,4907430
2017-06-13,36.46,36.96,35.96,36.19,2406841
2017-06-14,36.09,36.15,35.34,36.13,3094611
2017-06-15,35.83,36.49,35.67,35.93,3847112
2017-06-16,35.15,35.43,34.77,35.33,4775146
2017-06-19,35.01,35.6,34.51,35.15,2984842
2017-06-20,35.08,35.15,34.13,34.14,3030888
2017-06-21,34.21,34.48,33.48,33.66,2243736
2017-06-22,33.75,34.1,33.4,33.74,6713514
2017-06-23,30.13,30.5,29.41,29.65,21808488
2017-06-26,29.65,30.11,29.12,30.09,7640394
2017-06-27,30.11,31.17,30.09,30.72,5780874
2017-06-28,30.72,31.09,30.12,30.19,5184790
2017-06-29,30.12,30.64,29.97,30.45,3542676
2017-06-30,30.59,30.68,30.16,30.4,2700141
2017-07-03,30.68,31.29,30.63,31.15,1924537
2017-07-05,31.17,31.22,30.4,30.8,2859399
2017-07-06,30.69,30.75,29.54,29.65,3659500
2017-07-07,29.67,29.85,29.37,29.69,2753233
2017-07-10,29.7,29.78,28.8,28.84,3250520
2017-07-11,28.76,28.95,28.33,28.64,2621226
2017-07-12,28.78,29.07,28.4,28.5,2878593
2017-07-13,28.7,29.31,28.69,29.21,2905515
