Date,Open,High,Low,Close,Volume
2017-03-13,79.38,79.54,79.06,79.21,3664310
2017-03-14,78.96,79.8,78.83,79.69,3321548
2017-03-15,79.85,79.89,78.99,79.23,4337240
2017-03-16,79.47,80.1,79.39,79.77,3474802
2017-03-17,79.92,79.96,78.98,79.25,6672551
2017-03-20,79.15,79.6,78.83,78.85,3099528
2017-03-21,78.93,79.13,77.32,77.53,6804000
2017-03-22,77.43,78.18,77.06,77.67,4877322
2017-03-23,77.57,78.4,77.51,77.84,4082889
2017-03-24,78.11,78.84,77.87,78.2,4726801
2017-03-27,77.21,77.82,76.67,77.6,3835309
2017-03-28,77.51,78.86,77.39,78.64,4235903
2017-03-29,78.45,79.34,78.14,78.25,2913623
2017-03-30,78.2,79.3,78.09,79.21,2924106
2017-03-31,78.93,79.43,78.8,79.11,5228391
2017-04-03,79.17,79.18,77.97,78.59,3022678
2017-04-04,78.49,78.61,78.15,78.26,2563659
2017-04-05,78.59,79.03,77.66,77.76,2858427
2017-04-06,77.76,78.3,77.15,77.92,2914808
2017-04-07,77.48,78.24,77.37,77.77,2203039
2017-04-10,77.92,78.11,77.36,77.49,2217051
2017-04-11,77.53,77.57,76.68,77.26,4642341
2017-04-12,77.39,77.48,76.58,76.68,3055820
2017-04-13,76.33,76.81,75.7,75.8,3666554
2017-04-17,75.83,76.71,75.63,76.67,4160796
2017-04-18,76.45,76.48,75.53,75.79,3845877
2017-04-19,76.19,76.29,75.51,75.55,5283593
2017-04-20,77.5,80.28,77.46,80.02,11099336
2017-04-21,79.88,80.48,79.49,79.59,5837812
2017-04-24,80.64,80.92,80.24,80.45,3563193
2017-04-25,81.06,81.4,80.63,80.63,5061261
2017-04-26,80.62,80.92,80.15,80.52,3661571
2017-04-27,80.77,80.87,80.08,80.33,2922576
2017-04-28,79.94,80.17,79.05,79.25,5313188
2017-05-01,79.22,79.49,78.88,79.23,3458137
2017-05-02,79.15,79.66,79.15,79.54,3334875
2017-05-03,79.23,79.51,78.7,78.83,3800627
2017-05-04,79.23,79.42,77.99,78.33,3902166
2017-05-05,78.61,78.73,77.88,78.32,2936747
2017-05-08,78.5,78.74,77.95,78.16,2608590
2017-05-09,78.16,78.74,78.09,78.44,2570621
2017-05-10,78.28,78.66,78.14,78.65,2396925
2017-05-11,78.2,78.45,77.25,77.92,3780643
2017-05-12,77.7,77.81,77.22,77.49,2865797
2017-05-15,77.48,78.62,77.48,78.33,3326959
2017-05-16,78.6,78.64,77.84,78.13,2457503
2017-05-17,76.78,77.45,76.24,76.37,4441564
2017-05-18,76.27,76.84,75.97,76.38,3545677
2017-05-19,76.55,77.35,76.3,76.8,3283915
2017-05-22,76.95,77.12,76.5,76.98,2799975
2017-05-23,77.02,77.42,76.82,77.2,2239622
2017-05-24,77.46,77.46,76.93,77.12,2180625
2017-05-25,77.49,77.92,77.26,77.44,3185222
2017-05-26,77.17,77.6,77.02,77.46,1858801
2017-05-30,77.24,77.42,76.99,77.09,2073038
2017-05-31,77.09,77.11,75.98,76.94,3117138
2017-06-01,77.23,78.38,76.95,78.28,3553420
2017-06-02,77.77,78.74,77.77,78.49,3534804
2017-06-05,78.75,79.2,78.61,78.97,2738634
2017-06-06,78.46,78.93,78.29,78.85,2878015
2017-06-07,78.91,80.09,78.79,79.81,4284079
2017-06-08,79.71,80.2,79.67,79.95,4079817
2017-06-09,80.39,80.73,79.73,80.31,3849413
2017-06-12,80.35,80.73,79.95,80.17,3352279
2017-06-13,80.2,80.74,80.07,80.59,3174361
2017-06-14,80.11,80.92,79.62,80.84,4013089
2017-06-15,80.38,81.24,80.23,80.7,2773369
2017-06-16,80.86,81.48,80.77,81.45,5914697
2017-06-19,81.56,81.94,81.29,81.88,3076499
2017-06-20,81.98,82.81,81.8,82.51,3929088
2017-06-21,82.6,82.8,81.99,82.21,2683412
2017-06-22,82.11,82.62,82.06,82.25,2312070
2017-06-23,82.39,82.7,82.06,82.22,3785322
2017-06-26,82.5,83.28,82.44,82.96,2491613
2017-06-27,83.06,83.52,83.01,83.08,2994829
2017-06-28,83.51,84.26,83.4,83.97,3668491
2017-06-29,84.92,85.39,83.16,83.63,5092624
2017-06-30,84.09,84.64,83.59,84.24,3320821
2017-07-03,84.69,85.74,84.69,85.1,2306874
2017-07-05,85.22,85.88,84.81,84.89,3501204
2017-07-06,84.67,84.84,83.72,83.74,3213448
2017-07-07,83.93,84.68,83.77,84.33,2454587
2017-07-10,84.13,84.57,83.97,84.3,2147747
2017-07-11,84.23,84.3,83.54,84.16,2733163
2017-07-12,84.28,84.98,84.06,84.82,4629141
2017-07-13,84.93,85.43,84.74,85.37,3309411
