Date,Open,High,Low,Close,Volume
2017-01-03,63.56,63.79,62.82,63.21,4793381
2017-01-04,63.15,63.8,63.07,63.44,2835207
2017-01-05,63.35,63.77,63.18,63.65,4040018
2017-01-06,63.65,64.83,63.38,64.42,2863835
2017-01-09,64.38,64.85,64.33,64.6,1944170
2017-01-10,64.76,65.18,64.66,64.98,2560696
2017-01-11,64.48,64.72,64.23,64.49,1267956
2017-01-12,64.26,64.81,64.16,64.66,1049863
2017-01-13,64.7,64.89,64.42,64.66,1557714
2017-01-17,64.26,64.69,63.96,64.17,1595993
2017-01-18,64.44,64.55,64.02,64.36,1632683
2017-01-19,64.61,64.64,63.83,64.03,1551286
2017-01-20,64.2,64.67,64.05,64.58,2153896
2017-01-23,64.33,64.49,62.36,64.41,3505918
2017-01-24,64.62,65.43,64.62,65.33,1931526
2017-01-25,65.57,66.2,65.5,65.6,2818929
2017-01-26,65.58,65.79,65.29,65.3,2157276
2017-01-27,65.16,65.95,64.9,65.9,1981969
2017-01-30,65.83,65.93,65.05,65.68,1841159
2017-01-31,65.67,65.93,65.1,65.53,3254341
2017-02-01,65.48,65.75,64.8,64.87,2028102
2017-02-02,64.92,65.85,64.69,65.67,1554850
2017-02-03,66.01,66.52,65.84,66.23,1858692
2017-02-06,66.04,66.47,66.01,66.3,1235889
2017-02-07,66.48,66.88,66.39,66.49,1495870
2017-02-08,66.43,66.8,66.3,66.59,2477925
2017-02-09,66.29,67.99,66.02,67.39,2985512
2017-02-10,67.36,68.27,67.08,68.0,3190622
2017-02-13,68.14,68.98,67.79,68.11,4407184
2017-02-14,68.25,68.7,68.12,68.58,1946029
2017-02-15,68.34,68.94,68.23,68.65,1590335
2017-02-16,68.8,68.9,68.08,68.44,1968931
2017-02-17,68.35,68.62,67.98,68.4,2233203
2017-02-21,67.9,68.58,67.49,67.67,3600924
2017-02-22,65.9,66.33,65.81,66.1,5925785
2017-02-23,66.4,66.46,65.69,65.75,3952447
2017-02-24,65.58,66.01,65.54,65.95,2375198
2017-02-27,65.93,66.01,65.27,65.52,1815965
2017-02-28,65.47,65.49,65.12,65.32,2681411
2017-03-01,65.9,65.95,65.37,65.57,2311463
2017-03-02,65.42,65.5,64.92,65.21,2176391
2017-03-03,65.16,65.3,64.42,65.03,2177182
2017-03-06,64.67,64.72,64.34,64.5,1985426
2017-03-07,64.34,64.42,63.99,64.02,2070874
2017-03-08,64.07,64.21,63.8,64.08,1844204
2017-03-09,63.99,64.17,63.69,63.81,1674301
2017-03-10,64.69,64.75,64.05,64.31,2565559
2017-03-13,64.31,64.6,64.08,64.38,1656203
2017-03-14,64.31,64.49,63.78,63.95,2002505
2017-03-15,64.17,64.25,63.25,63.91,2901722
2017-03-16,64.12,64.17,63.76,63.82,2593816
2017-03-17,63.91,64.26,63.8,63.87,7460699
2017-03-20,64.03,64.15,63.84,64.07,2534480
2017-03-21,64.37,64.42,63.53,63.73,3258392
2017-03-22,63.77,64.0,63.06,63.32,3157707
2017-03-23,63.3,63.58,63.08,63.18,2786528
2017-03-24,63.32,63.73,63.01,63.58,3271334
2017-03-27,63.12,63.6,62.85,63.51,4936602
2017-03-28,63.98,64.73,63.51,64.47,3824071
2017-03-29,64.4,64.69,63.74,64.05,2714575
2017-03-30,63.89,64.27,63.78,64.02,3254381
2017-03-31,64.02,64.37,63.9,63.9,2410411
2017-04-03,63.74,63.99,63.18,63.55,3206008
2017-04-04,63.47,64.1,63.31,63.84,2961847
2017-04-05,64.08,64.9,63.85,63.87,4807457
2017-04-06,64.17,64.77,64.0,64.55,4245375
2017-04-07,64.43,64.79,64.24,64.28,2984234
2017-04-10,64.24,64.61,64.09,64.13,2363910
2017-04-11,63.87,64.22,63.54,64.15,2116033
2017-04-12,64.19,64.25,63.92,64.03,1484987
2017-04-13,64.03,64.11,63.75,63.79,1965871
2017-04-17,63.9,64.18,63.84,63.89,1617000
2017-04-18,63.79,64.11,63.73,63.96,1598366
2017-04-19,64.21,64.85,64.13,64.54,3016056
2017-04-20,64.7,65.23,64.66,65.04,2448139
2017-04-21,65.02,65.12,64.55,64.82,2595679
2017-04-24,65.22,66.0,65.17,65.72,2525475
2017-04-25,65.8,66.49,65.72,65.98,3411257
2017-04-26,66.03,66.28,65.8,65.88,1684286
2017-04-27,66.2,66.69,65.94,66.01,2485070
2017-04-28,65.82,65.93,65.36,65.75,2318309
2017-05-01,65.72,66.01,65.59,65.75,2235324
2017-05-02,65.96,66.34,65.75,66.34,3240648
2017-05-03,67.17,68.81,66.92,68.25,4842957
2017-05-04,68.03,69.0,67.91,68.98,3753039
2017-05-05,69.0,69.4,68.69,69.3,2930193
2017-05-08,69.03,69.43,69.0,69.14,2930221
2017-05-09,69.18,69.34,68.73,68.76,2445071
2017-05-10,68.62,69.19,68.62,68.88,2022320
2017-05-11,69.37,69.42,68.47,69.13,3009167
2017-05-12,69.1,69.35,68.86,68.9,1482263
2017-05-15,68.9,69.33,68.74,69.22,1619945
2017-05-16,69.55,69.77,69.3,69.35,2440256
2017-05-17,69.08,69.38,68.79,69.16,1798500
2017-05-18,69.15,69.43,68.91,69.1,3139341
2017-05-19,69.38,70.45,69.15,70.07,4898126
2017-05-22,70.25,71.13,70.0,71.01,2485732
2017-05-23,71.07,71.12,70.73,70.92,2044502
2017-05-24,70.96,72.15,70.8,71.95,2002918
2017-05-25,72.16,72.34,71.91,72.13,1354767
2017-05-26,72.13,72.52,71.97,72.09,1336971
2017-05-30,72.13,72.46,71.96,72.41,3450859
2017-05-31,72.46,72.75,72.38,72.64,1689176
2017-06-01,72.64,73.83,72.56,73.83,2266052
2017-06-02,73.77,74.28,73.62,73.99,1802058
2017-06-05,73.98,74.46,73.89,74.2,2561678
2017-06-06,74.13,74.46,73.85,74.32,2155089
2017-06-07,74.5,74.5,73.87,74.26,1723528
2017-06-08,74.28,74.41,73.63,73.97,3343054
2017-06-09,73.9,74.36,72.88,73.1,2042863
2017-06-12,72.98,73.17,70.9,71.91,3710562
2017-06-13,72.05,72.84,71.8,72.67,2010113
2017-06-14,73.06,73.15,72.58,73.04,1576716
2017-06-15,72.67,72.69,72.26,72.61,1250750
2017-06-16,72.66,73.01,72.44,72.78,2129987
2017-06-19,72.91,74.04,72.83,73.93,2198153
2017-06-20,73.89,74.25,73.58,73.91,2828633
2017-06-21,74.0,74.65,73.86,74.4,2552840
2017-06-22,74.44,74.82,74.06,74.54,1587835
2017-06-23,74.83,75.35,74.68,74.82,2446339
2017-06-26,75.02,75.45,74.64,74.74,1001909
2017-06-27,74.71,74.96,73.89,73.97,1399258
2017-06-28,74.4,74.47,74.08,74.15,1181347
2017-06-29,74.14,74.14,73.0,73.45,1270887
2017-06-30,73.54,74.15,73.54,73.76,1727008
2017-07-03,73.6,74.04,73.34,73.35,2692159
2017-07-05,73.33,73.41,72.48,73.08,3147976
2017-07-06,72.8,72.82,72.38,72.65,2338972
2017-07-07,72.77,73.75,72.71,73.49,2150124
2017-07-10,73.47,73.63,73.16,73.54,2446598
2017-07-11,73.57,74.41,73.48,73.97,3091797
2017-07-12,73.89,74.33,73.87,74.1,1481118
2017-07-13,74.12,74.12,72.92,73.42,1462508
