Date,Open,High,Low,Close,Volume
2017-01-03,128.51,129.92,128.14,128.97,652666
2017-01-04,130.24,130.24,128.33,128.53,786918
2017-01-05,128.53,129.63,128.32,129.18,661267
2017-01-06,128.97,129.53,128.19,129.04,534584
2017-01-09,129.11,129.13,127.53,128.01,642166
2017-01-10,127.52,128.99,127.0,128.74,1411339
2017-01-11,128.75,131.47,128.66,130.65,2052990
2017-01-12,130.43,131.3,130.29,130.56,1169067
2017-01-13,130.73,131.47,130.33,131.0,780704
2017-01-17,131.01,132.33,130.44,132.26,887698
2017-01-18,132.45,133.21,132.21,133.0,983743
2017-01-19,132.55,133.35,132.28,132.86,1122031
2017-01-20,133.38,133.9,132.8,133.57,886494
2017-01-23,133.27,134.4,132.75,133.49,1040522
2017-01-24,133.38,134.78,133.0,134.51,1022393
2017-01-25,134.54,135.15,134.39,135.01,1001253
2017-01-26,135.01,135.88,134.76,135.82,1206339
2017-01-27,135.81,136.13,134.71,135.59,964383
2017-01-30,135.98,135.98,133.09,134.12,1103701
2017-01-31,133.77,135.91,133.77,135.85,1590776
2017-02-01,134.99,136.47,134.7,135.5,1684157
2017-02-02,136.09,138.55,135.5,137.58,1787152
2017-02-03,138.45,139.64,137.21,138.78,1036474
2017-02-06,139.02,139.25,137.61,138.0,926132
2017-02-07,137.75,139.95,137.75,139.66,941057
2017-02-08,138.19,139.0,137.0,137.19,1318841
2017-02-09,137.49,138.19,137.1,137.7,682081
2017-02-10,137.5,138.68,137.01,138.02,494387
2017-02-13,138.05,139.08,137.01,138.79,1531611
2017-02-14,138.06,138.53,137.17,137.93,1340024
2017-02-15,137.51,138.73,137.26,138.53,1161694
2017-02-16,138.26,138.76,137.01,137.84,2461336
2017-02-17,132.42,137.03,130.01,135.95,3590309
2017-02-21,135.96,143.68,135.23,141.92,3228428
2017-02-22,141.06,141.89,140.47,140.73,1193555
2017-02-23,141.37,141.9,140.72,140.83,1293746
2017-02-24,141.19,141.29,139.92,141.18,792747
2017-02-27,141.18,141.59,139.96,140.96,1769317
2017-02-28,141.04,143.45,140.6,141.73,1285963
2017-03-01,141.28,142.04,140.45,140.69,1841817
2017-03-02,140.76,141.53,140.53,140.95,798529
2017-03-03,140.85,141.22,140.13,140.49,1107191
2017-03-06,139.8,140.56,139.43,139.99,865133
2017-03-07,140.0,140.35,139.06,139.17,981225
2017-03-08,138.94,139.3,138.44,138.44,2051379
2017-03-09,139.13,139.96,138.76,139.69,1480253
2017-03-10,140.43,140.44,139.2,139.49,1236629
2017-03-13,139.49,139.59,138.62,139.11,1152182
2017-03-14,139.05,139.24,138.36,138.92,922581
2017-03-15,139.01,140.04,138.64,139.14,1215863
2017-03-16,138.71,138.99,138.1,138.72,1520729
2017-03-17,139.13,139.39,138.49,138.55,1311448
2017-03-20,138.6,139.1,138.11,138.5,795476
2017-03-21,136.58,136.73,133.79,134.61,2135579
2017-03-22,134.77,134.89,133.07,133.64,1411683
2017-03-23,133.46,134.13,132.79,133.16,1364035
2017-03-24,133.54,133.69,132.64,133.06,654583
2017-03-27,132.93,133.24,132.23,132.89,1747749
2017-03-28,132.69,133.52,132.3,133.14,2589722
2017-03-29,133.0,133.48,132.59,132.59,1000476
2017-03-30,132.51,132.89,131.12,131.26,927612
2017-03-31,131.51,131.86,131.05,131.08,864623
2017-04-03,131.15,131.45,130.64,131.08,1159580
2017-04-04,131.38,131.5,130.43,130.8,1064254
2017-04-05,130.81,131.33,129.91,130.02,963048
2017-04-06,130.12,130.37,129.27,129.44,975605
2017-04-07,129.68,130.05,129.29,129.4,729033
2017-04-10,128.28,128.58,127.34,127.69,1529023
2017-04-11,127.37,127.82,126.81,127.77,1118751
2017-04-12,127.72,128.45,127.06,128.2,699034
2017-04-13,128.04,128.36,127.32,127.38,490515
2017-04-17,127.63,128.06,127.09,128.01,1424137
2017-04-18,128.0,129.3,127.5,128.11,1010155
2017-04-19,127.96,128.27,127.09,127.5,689316
2017-04-20,127.53,128.09,126.94,127.46,778612
2017-04-21,127.19,127.78,126.39,126.58,915098
2017-04-24,126.99,127.87,126.99,127.16,821907
2017-04-25,127.33,127.37,126.46,126.93,656639
2017-04-26,126.92,127.38,126.28,126.9,931746
2017-04-27,126.98,127.35,126.23,126.41,657184
2017-04-28,126.24,126.8,125.77,126.72,761404
2017-05-01,127.0,127.24,125.89,125.89,757248
2017-05-02,125.91,126.35,124.09,124.67,962130
2017-05-03,124.66,125.25,124.6,124.96,775526
2017-05-04,125.11,126.98,124.95,125.6,830228
2017-05-05,126.06,126.81,125.55,126.08,694931
2017-05-08,126.0,127.1,125.41,126.24,805326
2017-05-09,126.14,126.64,125.34,125.49,849608
2017-05-10,124.65,125.51,124.42,125.34,735682
2017-05-11,125.0,125.18,124.06,125.04,794841
2017-05-12,124.86,125.15,124.36,124.75,450812
2017-05-15,124.64,125.46,124.61,124.78,742792
2017-05-16,125.27,125.32,124.49,124.77,527012
2017-05-17,124.86,126.33,124.27,125.79,668636
2017-05-18,125.49,126.57,124.66,125.9,1127310
2017-05-19,125.96,126.23,124.83,126.01,886492
2017-05-22,125.89,127.57,125.63,126.96,520058
2017-05-23,127.26,128.4,127.01,127.54,476121
2017-05-24,127.54,128.06,126.78,127.75,551755
2017-05-25,127.54,128.62,127.54,128.0,847864
2017-05-26,128.1,128.55,127.96,128.17,413914
2017-05-30,127.6,127.98,127.29,127.77,511772
2017-05-31,127.9,128.93,127.16,127.85,1099119
2017-06-01,128.11,130.24,127.28,130.23,810524
2017-06-02,130.76,131.3,129.72,130.51,817844
2017-06-05,130.56,130.56,129.71,130.5,700104
2017-06-06,130.64,131.45,130.1,130.52,1036258
2017-06-07,130.5,130.88,129.43,130.88,1373055
2017-06-08,134.0,134.12,127.74,128.51,1629120
2017-06-09,128.32,128.89,126.7,127.16,876307
2017-06-12,127.27,128.62,127.02,128.05,819849
2017-06-13,127.91,128.44,126.52,128.24,753695
2017-06-14,128.74,129.41,127.02,127.48,1370630
2017-06-15,127.0,127.32,126.28,127.15,864658
2017-06-16,126.76,126.76,123.64,124.72,1415958
2017-06-19,124.72,124.83,123.04,124.16,700261
2017-06-20,124.0,124.12,122.33,122.37,783903
2017-06-21,122.64,123.37,121.28,121.57,844229
2017-06-22,121.73,122.2,120.9,121.23,855963
2017-06-23,121.22,121.79,120.43,120.72,1146361
2017-06-26,120.91,122.32,120.61,122.06,658326
2017-06-27,121.61,122.06,120.16,120.17,880979
2017-06-28,120.6,121.31,119.67,119.81,594606
2017-06-29,120.1,120.13,117.78,118.02,1354403
2017-06-30,118.41,118.99,117.47,118.33,855976
2017-07-03,118.8,119.12,117.9,118.15,504828
2017-07-05,117.89,118.08,116.25,116.3,977062
2017-07-06,116.21,116.64,115.07,115.11,833546
2017-07-07,115.55,115.71,114.84,115.39,795525
2017-07-10,115.45,115.45,114.39,114.41,739194
2017-07-11,114.81,115.58,114.31,114.45,1177603
2017-07-12,115.29,116.0,114.94,115.16,946876
2017-07-13,115.25,116.39,115.1,116.34,1246516
