stock,Date,Open,High,Low,Close,Volume
MSFT,2017-07-07,31.39,32.28,31.17,31.49,2435763
MAA,2017-07-07,31.39,32.28,31.17,31.49,2435763
MHK,2017-07-07,31.39,32.28,31.17,31.49,2435763
TAP,2017-07-07,31.39,32.28,31.17,31.49,2435763
MDLZ,2017-07-07,31.39,32.28,31.17,31.49,2435763
MON,2017-07-07,31.39,32.28,31.17,31.49,2435763
MNST,2017-07-07,31.39,32.28,31.17,31.49,2435763
MCO,2017-07-07,31.39,32.28,31.17,31.49,2435763
MS,2017-07-07,31.39,32.28,31.17,31.49,2435763
MOS,2017-07-07,31.39,32.28,31.17,31.49,2435763
MSI,2017-07-07,31.39,32.28,31.17,31.49,2435763
MUR,2017-07-07,31.39,32.28,31.17,31.49,2435763
MYL,2017-07-07,31.39,32.28,31.17,31.49,2435763
NDAQ,2017-07-07,31.39,32.28,31.17,31.49,2435763
NOV,2017-07-07,31.39,32.28,31.17,31.49,2435763
NAVI,2017-07-07,31.39,32.28,31.17,31.49,2435763
NTAP,2017-07-07,31.39,32.28,31.17,31.49,2435763
NFLX,2017-07-07,31.39,32.28,31.17,31.49,2435763
NWL,2017-07-07,31.39,32.28,31.17,31.49,2435763
NFX,2017-07-07,31.39,32.28,31.17,31.49,2435763
NEM,2017-07-07,31.39,32.28,31.17,31.49,2435763
NWSA,2017-07-07,31.39,32.28,31.17,31.49,2435763
NWS,2017-07-07,31.39,32.28,31.17,31.49,2435763
NEE,2017-07-07,31.39,32.28,31.17,31.49,2435763
NLSN,2017-07-07,31.39,32.28,31.17,31.49,2435763
NKE,2017-07-07,31.39,32.28,31.17,31.49,2435763
NI,2017-07-07,31.39,32.28,31.17,31.49,2435763
NBL,2017-07-07,31.39,32.28,31.17,31.49,2435763
JWN,2017-07-07,31.39,32.28,31.17,31.49,2435763
NSC,2017-07-07,31.39,32.28,31.17,31.49,2435763
NTRS,2017-07-07,31.39,32.28,31.17,31.49,2435763
NOC,2017-07-07,31.39,32.28,31.17,31.49,2435763
NRG,2017-07-07,31.39,32.28,31.17,31.49,2435763
NUE,2017-07-07,31.39,32.28,31.17,31.49,2435763
NVDA,2017-07-07,31.39,32.28,31.17,31.49,2435763
ORLY,2017-07-07,31.39,32.28,31.17,31.49,2435763
OXY,2017-07-07,31.39,32.28,31.17,31.49,2435763
OMC,2017-07-07,31.39,32.28,31.17,31.49,2435763
OKE,2017-07-07,31.39,32.28,31.17,31.49,2435763
ORCL,2017-07-07,31.39,32.28,31.17,31.49,2435763
PCAR,2017-07-07,31.39,32.28,31.17,31.49,2435763
PH,2017-07-07,31.39,32.28,31.17,31.49,2435763
PDCO,2017-07-07,31.39,32.28,31.17,31.49,2435763
PAYX,2017-07-07,31.39,32.28,31.17,31.49,2435763
PYPL,2017-07-07,31.39,32.28,31.17,31.49,2435763
PNR,2017-07-07,31.39,32.28,31.17,31.49,2435763
PBCT,2017-07-07,31.39,32.28,31.17,31.49,2435763
PEP,2017-07-07,31.39,32.28,31.17,31.49,2435763
PKI,2017-07-07,31.39,32.28,31.17,31.49,2435763
PRGO,2017-07-07,31.39,32.28,31.17,31.49,2435763
PFE,2017-07-07,31.39,32.28,31.17,31.49,2435763
PCG,2017-07-07,31.39,32.28,31.17,31.49,2435763
PM,2017-07-07,31.39,32.28,31.17,31.49,2435763
PSX,2017-07-07,31.39,32.28,31.17,31.49,2435763
PNW,2017-07-07,31.39,32.28,31.17,31.49,2435763
PXD,2017-07-07,31.39,32.28,31.17,31.49,2435763
PNC,2017-07-07,31.39,32.28,31.17,31.49,2435763
RL,2017-07-07,31.39,32.28,31.17,31.49,2435763
PPG,2017-07-07,31.39,32.28,31.17,31.49,2435763
PPL,2017-07-07,31.39,32.28,31.17,31.49,2435763
PX,2017-07-07,31.39,32.28,31.17,31.49,2435763
PCLN,2017-07-07,31.39,32.28,31.17,31.49,2435763
PFG,2017-07-07,31.39,32.28,31.17,31.49,2435763
PG,2017-07-07,31.39,32.28,31.17,31.49,2435763
PGR,2017-07-07,31.39,32.28,31.17,31.49,2435763
PLD,2017-07-07,31.39,32.28,31.17,31.49,2435763
PRU,2017-07-07,31.39,32.28,31.17,31.49,2435763
PEG,2017-07-07,31.39,32.28,31.17,31.49,2435763
PSA,2017-07-07,31.39,32.28,31.17,31.49,2435763
PHM,2017-07-07,31.39,32.28,31.17,31.49,2435763
PVH,2017-07-07,31.39,32.28,31.17,31.49,2435763
QRVO,2017-07-07,31.39,32.28,31.17,31.49,2435763
PWR,2017-07-07,31.39,32.28,31.17,31.49,2435763
QCOM,2017-07-07,31.39,32.28,31.17,31.49,2435763
DGX,2017-07-07,31.39,32.28,31.17,31.49,2435763
RRC,2017-07-07,31.39,32.28,31.17,31.49,2435763
RJF,2017-07-07,31.39,32.28,31.17,31.49,2435763
RTN,2017-07-07,31.39,32.28,31.17,31.49,2435763
O,2017-07-07,31.39,32.28,31.17,31.49,2435763
RHT,2017-07-07,31.39,32.28,31.17,31.49,2435763
REG,2017-07-07,31.39,32.28,31.17,31.49,2435763
REGN,2017-07-07,31.39,32.28,31.17,31.49,2435763
RF,2017-07-07,31.39,32.28,31.17,31.49,2435763
RSG,2017-07-07,31.39,32.28,31.17,31.49,2435763
RAI,2017-07-07,31.39,32.28,31.17,31.49,2435763
RHI,2017-07-07,31.39,32.28,31.17,31.49,2435763
ROK,2017-07-07,31.39,32.28,31.17,31.49,2435763
COL,2017-07-07,31.39,32.28,31.17,31.49,2435763
ROP,2017-07-07,31.39,32.28,31.17,31.49,2435763
ROST,2017-07-07,31.39,32.28,31.17,31.49,2435763
RCL,2017-07-07,31.39,32.28,31.17,31.49,2435763
CRM,2017-07-07,31.39,32.28,31.17,31.49,2435763
SCG,2017-07-07,31.39,32.28,31.17,31.49,2435763
SLB,2017-07-07,31.39,32.28,31.17,31.49,2435763
SNI,2017-07-07,31.39,32.28,31.17,31.49,2435763
STX,2017-07-07,31.39,32.28,31.17,31.49,2435763
SEE,2017-07-07,31.39,32.28,31.17,31.49,2435763
SRE,2017-07-07,31.39,32.28,31.17,31.49,2435763
SHW,2017-07-07,31.39,32.28,31.17,31.49,2435763
SIG,2017-07-07,31.39,32.28,31.17,31.49,2435763
SPG,2017-07-07,31.39,32.28,31.17,31.49,2435763
SWKS,2017-07-07,31.39,32.28,31.17,31.49,2435763
SLG,2017-07-07,31.39,32.28,31.17,31.49,2435763
SNA,2017-07-07,31.39,32.28,31.17,31.49,2435763
SO,2017-07-07,31.39,32.28,31.17,31.49,2435763
LUV,2017-07-07,31.39,32.28,31.17,31.49,2435763
SPGI,2017-07-07,31.39,32.28,31.17,31.49,2435763
SWK,2017-07-07,31.39,32.28,31.17,31.49,2435763
SPLS,2017-07-07,31.39,32.28,31.17,31.49,2435763
SBUX,2017-07-07,31.39,32.28,31.17,31.49,2435763
STT,2017-07-07,31.39,32.28,31.17,31.49,2435763
SRCL,2017-07-07,31.39,32.28,31.17,31.49,2435763
SYK,2017-07-07,31.39,32.28,31.17,31.49,2435763
STI,2017-07-07,31.39,32.28,31.17,31.49,2435763
SYMC,2017-07-07,31.39,32.28,31.17,31.49,2435763
SYF,2017-07-07,31.39,32.28,31.17,31.49,2435763
SNPS,2017-07-07,31.39,32.28,31.17,31.49,2435763
SYY,2017-07-07,31.39,32.28,31.17,31.49,2435763
TROW,2017-07-07,31.39,32.28,31.17,31.49,2435763
TGT,2017-07-07,31.39,32.28,31.17,31.49,2435763
TEL,2017-07-07,31.39,32.28,31.17,31.49,2435763
FTI,2017-07-07,31.39,32.28,31.17,31.49,2435763
TSO,2017-07-07,31.39,32.28,31.17,31.49,2435763
TXN,2017-07-07,31.39,32.28,31.17,31.49,2435763
TXT,2017-07-07,31.39,32.28,31.17,31.49,2435763
TMO,2017-07-07,31.39,32.28,31.17,31.49,2435763
TIF,2017-07-07,31.39,32.28,31.17,31.49,2435763
TWX,2017-07-07,31.39,32.28,31.17,31.49,2435763
TJX,2017-07-07,31.39,32.28,31.17,31.49,2435763
TMK,2017-07-07,31.39,32.28,31.17,31.49,2435763
TSS,2017-07-07,31.39,32.28,31.17,31.49,2435763
TSCO,2017-07-07,31.39,32.28,31.17,31.49,2435763
TDG,2017-07-07,31.39,32.28,31.17,31.49,2435763
RIG,2017-07-07,31.39,32.28,31.17,31.49,2435763
