stock,Date,Open,High,Low,Close,Volume
DE,2017-07-07,125.13,126.82,125.05,126.64,1584569
DLPH,2017-07-07,86.8,89.34,86.57,89.12,1646634
DAL,2017-07-07,54.55,55.5,54.28,55.46,7493298
XRAY,2017-07-07,64.45,64.88,64.2,64.6,1076979
DVN,2017-07-07,29.81,29.95,28.79,29.54,7366474
DLR,2017-07-07,109.7,111.0,109.35,110.15,879313
DFS,2017-07-07,61.42,61.73,61.06,61.37,2808938
DISCA,2017-07-07,25.78,25.95,25.44,25.82,1710996
DISCK,2017-07-07,25.15,25.27,24.82,25.15,630504
DISH,2017-07-07,63.65,64.62,63.46,63.89,1553976
DG,2017-07-07,70.14,70.55,69.75,70.23,1562953
DLTR,2017-07-07,68.0,68.69,67.67,67.98,1792102
D,2017-07-07,75.8,76.03,75.57,75.79,1686968
DOV,2017-07-07,82.02,83.27,81.97,83.17,1514584
DOW,2017-07-07,63.61,63.98,63.26,63.89,3295464
DPS,2017-07-07,89.44,89.65,88.95,89.26,1034448
DTE,2017-07-07,105.36,105.78,105.15,105.26,726059
DD,2017-07-07,81.77,82.08,81.19,82.03,1941798
DUK,2017-07-07,83.22,83.74,83.08,83.42,2531389
DXC,2017-07-07,76.51,77.65,76.46,77.46,842897
ETFC,2017-07-07,38.71,38.89,38.38,38.69,2137706
EMN,2017-07-07,83.99,84.1,83.38,83.9,897344
ETN,2017-07-07,78.55,79.9,78.35,79.36,1934334
EBAY,2017-07-07,34.02,34.55,34.01,34.23,6896570
ECL,2017-07-07,132.18,132.78,131.62,132.62,886687
EIX,2017-07-07,76.67,77.22,76.57,76.83,953618
EW,2017-07-07,117.8,118.7,117.8,118.17,754976
EA,2017-07-07,106.28,108.47,105.54,107.45,2152528
EMR,2017-07-07,59.3,59.83,58.99,59.47,2344229
ETR,2017-07-07,75.52,76.14,75.38,75.79,907816
EVHC,2017-07-07,60.66,61.73,60.13,61.65,847828
EOG,2017-07-07,88.07,88.6,87.04,88.44,3810270
EQT,2017-07-07,58.69,58.95,57.49,58.74,5494472
EFX,2017-07-07,137.89,139.45,137.88,138.37,519105
EQIX,2017-07-07,418.98,425.35,418.78,423.3,365377
EQR,2017-07-07,64.92,65.35,64.59,64.98,1446591
ESS,2017-07-07,254.58,256.9,254.45,255.74,322983
EL,2017-07-07,95.19,95.25,94.05,94.28,1570482
ES,2017-07-07,60.07,60.34,59.91,60.07,1164094
RE,2017-07-07,262.78,264.07,261.04,263.21,281458
EXC,2017-07-07,35.7,35.9,35.5,35.58,4383479
EXPE,2017-07-07,148.95,150.39,148.95,149.78,932340
EXPD,2017-07-07,56.35,56.98,56.11,56.93,815365
ESRX,2017-07-07,62.77,62.98,62.12,62.5,2969091
EXR,2017-07-07,76.1,77.07,75.74,76.53,712127
XOM,2017-07-07,80.2,80.6,79.81,80.22,10777832
FFIV,2017-07-07,127.97,129.1,127.15,127.63,612007
FB,2017-07-07,149.25,151.99,149.19,151.44,13615931
FAST,2017-07-07,44.13,44.21,43.64,43.89,1740225
FRT,2017-07-07,125.47,126.73,125.17,126.28,341260
FDX,2017-07-07,216.27,218.99,215.39,218.51,1069156
FIS,2017-07-07,85.77,86.95,85.77,86.78,1808762
FITB,2017-07-07,26.55,26.62,26.3,26.48,4073564
FE,2017-07-07,29.31,29.43,29.11,29.25,3148525
FISV,2017-07-07,122.0,123.47,122.0,122.77,704350
FLIR,2017-07-07,34.3,34.72,34.3,34.7,1232453
FLS,2017-07-07,46.33,47.01,46.03,46.31,1231445
FLR,2017-07-07,45.21,45.48,44.62,45.34,1255985
FMC,2017-07-07,73.84,74.93,73.56,74.59,682479
FL,2017-07-07,50.08,50.38,49.68,49.98,4129058
F,2017-07-07,11.21,11.28,11.16,11.26,20871848
FTV,2017-07-07,63.61,64.0,63.46,63.85,1114145
FBHS,2017-07-07,65.16,66.5,65.08,65.93,860870
BEN,2017-07-07,45.14,45.65,45.01,45.42,1311953
FCX,2017-07-07,11.92,12.0,11.71,11.9,12151434
GPS,2017-07-07,22.77,22.96,22.62,22.64,6608785
GRMN,2017-07-07,51.24,51.38,50.98,51.17,931190
IT,2017-07-07,124.85,126.47,124.52,125.37,536758
